"Simple_ID","Exposure_ID","Death_timing","Pre_exp_ID","Exposure_type","Exposure_start","Exposure_duration","Animal_type","Death_date","Batch","Notes","Erin_ID","Well_1","Well_2","Well_3","Status","MeanCopy","Well_1_1","Well_2_1","Well_3_1","Status_1","MeanCopy_1","MeanCopyFinal","Exposure_duration_numerical","logMeanCopyFinalPlus1","MeanCopyFinalPlus1","Trio_ID","Larval_condition","Final_status","Final_status_binomial"
"MR284","EHS.SH.48.4","Euthanization","EHS4","Shared",2021-07-11,"48hr","Infected",2021-07-13,2,NA,1,43334608,38110484,42625740,"Pos",41356944,NA,NA,NA,NA,NA,41356944,48,7.61654845033142,41356945,"EHS.48.4","EHS","Pos","1"
"MR211","ELS.SH.48.4","Euthanization","ELS6","Shared",2021-07-11,"48hr","Infected",2021-07-13,2,NA,2,1088671.375,1137578.375,1131647.75,"Pos",1119299.167,NA,NA,NA,NA,NA,1119299.167,48,6.04894656855739,1119300.167,"ELS.48.4","ELS","Pos","1"
"MR285","AHS.SH.48.4","Euthanization","AHS7","Shared",2021-07-11,"48hr","Infected",2021-07-13,2,NA,3,50143200,46063564,47071740,"Pos",47759501.33,NA,NA,NA,NA,NA,47759501.33,48,7.67905979265103,47759502.33,"AHS.48.4","AHS","Pos","1"
"MR210","ALS.SH.48.C","Euthanization","ALS6","Shared",2021-07-11,"48hr","Control (pseudo-infected)",2021-07-13,2,NA,4,762.8934326,750.4929199,802.8240967,"Pos",772.0701497,NA,NA,NA,NA,NA,772.0701497,48,2.88821890432625,773.0701497,"ALS.48.C","ALS","Pos","1"
"MR282","ELS.SQ.48.8","Euthanization","ELS6","Shared",2021-07-11,"48hr","Infected",2021-07-13,2,"didn't actually make it to the shared, since it didn't have a pair so we euthanized it.",5,1484131.875,1253634,1204502,"Pos",1314089.292,NA,NA,NA,NA,NA,1314089.292,48,6.11862520690576,1314090.292,"ELS.48.8","ELS","Pos","1"
"MR212","ELS.SH.48.7","Euthanization","ELS7","Shared",2021-07-11,"48hr","Infected",2021-07-13,2,NA,6,13384569,10601291,11523638,"Pos",11836499.33,NA,NA,NA,NA,NA,11836499.33,48,7.07322331454585,11836500.33,"ELS.48.7","ELS","Pos","1"
"MR283","ALS.SH.48.6","Died during exposure","ALS3","Shared",2021-07-11,"48hr","Infected",2021-07-13,2,"died during the shared exposure. It was originally labeled as SQ but this was incorrect. Verified using tape photos and pairs.",7,12807790,12138424,11630371,"Pos",12192195,NA,NA,NA,NA,NA,12192195,48,7.08608193570765,12192196,"ALS.48.6","ALS","Pos","1"
"MR213","ALS.SH.48.7","Died after exposure","ALS8","Shared",2021-07-11,"48hr","Naive",2021-07-18,2,NA,8,95695040,82905776,83114568,"Pos",87238461.33,NA,NA,NA,NA,NA,87238461.33,48,7.94070800207538,87238462.33,"ALS.48.7","ALS","Pos","1"
"MR133","ALS.SQ.48.5","Died after exposure","ALS15","Sequential",2021-07-13,"48hr","Naive",2021-07-19,2,NA,9,38434.27734,36566.875,33507.22656,"Pos",36169.45964,NA,NA,NA,NA,NA,36169.45964,48,4.55835402764045,36170.45964,"ALS.48.5","ALS","Pos","1"
"MR165","EHS.SQ.48.5","Died after exposure","EHS9","Sequential",2021-07-13,"48hr","Naive",2021-07-19,2,NA,11,12539592,12854464,11458144,"Pos",12284066.67,NA,NA,NA,NA,NA,12284066.67,48,7.08934220020238,12284067.67,"EHS.48.5","EHS","Pos","1"
"MR137","ELS.SH.12.C","Euthanization","ELS3","Shared",2021-07-11,"12hr","Control (pseudo-naive)",2021-07-16,2,NA,61,45.02565384,26.35859299,45.39323807,"Pos",38.9258283,0,0,0,"Neg",0,0,12,0,1,"ELS.12.C","ELS","Neg","0"
"MR190","EHS.SH.12.C","Euthanization","EHS2","Shared",2021-07-11,"12hr","Control (pseudo-naive)",2021-07-16,2,NA,62,0,0,0,"Neg",0,NA,NA,NA,NA,NA,0,12,0,1,"EHS.12.C","EHS","Neg","0"
"MR180","AHS.SH.12.C","Euthanization","AHS9","Shared",2021-07-11,"12hr","Control (pseudo-naive)",2021-07-16,2,NA,63,0,0,0,"Neg",0,NA,NA,NA,NA,NA,0,12,0,1,"AHS.12.C","AHS","Neg","0"
"MR121","ALS.SH.12.C","Euthanization","ALS13","Shared",2021-07-11,"12hr","Control (pseudo-naive)",2021-07-16,2,NA,64,0,0,0,"Neg",0,NA,NA,NA,NA,NA,0,12,0,1,"ALS.12.C","ALS","Neg","0"
"MR135","ALS.SH.12.4","Euthanization","ALS5","Shared",2021-07-11,"12hr","Naive",2021-07-16,2,NA,65,439204640,141453280,233206032,"Pos",271287984,NA,NA,NA,NA,NA,271287984,12,8.43343055983698,271287985,"ALS.12.4","ALS","Pos","1"
"MR140","ALS.SH.12.5","Euthanization","ALS8","Shared",2021-07-11,"12hr","Naive",2021-07-16,2,NA,66,26847.02344,27505.79492,27264.375,"Pos",27205.73112,NA,NA,NA,NA,NA,27205.73112,12,4.43467636457181,27206.73112,"ALS.12.5","ALS","Pos","1"
